,STA,FL,SIM,Total
BERT Deletion,0.9531837767124176,0.47177488119006156,0.6414214318633079,0.2928031578540802
Encoder-Decoder,0.6517880827307702,0.5338920620784163,0.549631848704815,0.19717650542557238
T5-small,0.6123539594650269,0.7395521600604057,0.6748421402215957,0.3157254221439362
